B. malayi Gene stable ID,B. malayi Gene name,B. malayi Transcript stable ID,B. malayi Chromosome/scaffold name,B. malayi Gene start (bp),B. malayi Gene end (bp),C. elegans (PRJNA13758) [WS258] gene stable ID,C. elegans (PRJNA13758) [WS258] gene name,C. elegans (PRJNA13758) [WS258] chromosome/scaffold,C. elegans (PRJNA13758) [WS258] start (bp),C. elegans (PRJNA13758) [WS258] end (bp),Homology type,% identity,O. volvulus (PRJEB513) [WS258] gene stable ID,O. volvulus (PRJEB513) [WS258] gene name,O. volvulus (PRJEB513) [WS258] chromosome/scaffold,O. volvulus (PRJEB513) [WS258] start (bp),O. volvulus (PRJEB513) [WS258] end (bp),Homology type,% identity
WBGene00220877,Bm616,Bm616,Bm_v4_Chr1_scaffold_001,6976945,6980760,WBGene00021751,Y50D7A.1,III,292640,314266,ortholog_one2one,16.7293,WBGene00245687,OVOC8878,OVOC_OM3,9973582,9977715,ortholog_one2one,69.3609
WBGene00220885,Bma-dhhc-5,Bm624,Bm_v4_Chr1_scaffold_001,4844813,4847483,WBGene00020066,dhhc-5,III,6847390,6849055,ortholog_one2one,20.679,WBGene00245782,Ovo-dhhc-5,OVOC_OM3,10681254,10689495,ortholog_one2one,76.5432
WBGene00220891,Bm630,Bm630,Bm_v4_ChrX_scaffold_001,11163233,11171377,WBGene00015278,C01B10.3,IV,6619468,6621352,ortholog_one2one,53.6058,WBGene00240795,OVOC3986,OVOC_OM2,1385636,1391411,ortholog_one2one,87.7404
WBGene00220898,Bm637,Bm637,Bm_v4_Chr4_scaffold_001,3238150,3240095,WBGene00016990,vps-37,V,5592685,5593612,ortholog_one2one,42.0513,WBGene00243207,Ovo-vps-37,OVOC_OM2,17520544,17523491,ortholog_one2one,86.6667
WBGene00220921,Bm660,Bm660,Bm_v4_Chr1_scaffold_001,8400985,8404848,WBGene00010305,F59A2.5,III,3404863,3405469,ortholog_one2one,24.1935,WBGene00245230,OVOC8421,OVOC_OM3,7132427,7133868,ortholog_one2one,63.7097
WBGene00220936,Bm675,Bm675,Bm_v4_Chr1_scaffold_001,5808734,5809626,WBGene00007904,C33G3.4,X,14071162,14076295,ortholog_one2many,44.5783,WBGene00245226,OVOC8417,OVOC_OM3,7097552,7105487,ortholog_one2many,57.8313
WBGene00220949,Bm688,Bm688,Bm_v4_ChrX_scaffold_001,4096095,4098586,WBGene00045385,lgc-24,X,12068550,12070563,ortholog_one2many,17.7143,WBGene00241989,OVOC5180,OVOC_OM2,9286491,9289397,ortholog_one2one,84.2857
WBGene00220949,Bm688,Bm688,Bm_v4_ChrX_scaffold_001,4096095,4098586,WBGene00044301,lgc-28,II,2625092,2627070,ortholog_one2many,18.5714,WBGene00241989,OVOC5180,OVOC_OM2,9286491,9289397,ortholog_one2one,84.2857
WBGene00220949,Bm688,Bm688,Bm_v4_ChrX_scaffold_001,4096095,4098586,WBGene00007594,lgc-23,X,12065264,12067432,ortholog_one2many,19.1429,WBGene00241989,OVOC5180,OVOC_OM2,9286491,9289397,ortholog_one2one,84.2857
WBGene00220960,Bma-lin-22,Bm699a,Bm_v4_ChrX_scaffold_001,5083463,5087957,WBGene00003008,lin-22,IV,3019738,3022315,ortholog_one2one,14.8014,WBGene00241807,Ovo-lin-22,OVOC_OM2,8162533,8168476,ortholog_one2one,47.2924
WBGene00220960,Bma-lin-22,Bm699b,Bm_v4_ChrX_scaffold_001,5083463,5087957,WBGene00003008,lin-22,IV,3019738,3022315,ortholog_one2one,14.8014,WBGene00241807,Ovo-lin-22,OVOC_OM2,8162533,8168476,ortholog_one2one,47.2924
WBGene00220960,Bma-lin-22,Bm699c,Bm_v4_ChrX_scaffold_001,5083463,5087957,WBGene00003008,lin-22,IV,3019738,3022315,ortholog_one2one,14.8014,WBGene00241807,Ovo-lin-22,OVOC_OM2,8162533,8168476,ortholog_one2one,47.2924
WBGene00220960,Bma-lin-22,Bm699d,Bm_v4_ChrX_scaffold_001,5083463,5087957,WBGene00003008,lin-22,IV,3019738,3022315,ortholog_one2one,14.8014,WBGene00241807,Ovo-lin-22,OVOC_OM2,8162533,8168476,ortholog_one2one,47.2924
WBGene00220981,Bm720,Bm720a,Bm_v4_Chr1_scaffold_001,47760,52241,WBGene00002206,kin-24,IV,9839057,9841084,ortholog_one2many,23.4414,WBGene00246259,OVOC9450,OVOC_OM3,14784631,14789303,ortholog_one2one,54.6135
WBGene00220981,Bm720,Bm720b,Bm_v4_Chr1_scaffold_001,47760,52241,WBGene00002206,kin-24,IV,9839057,9841084,ortholog_one2many,23.4414,WBGene00246259,OVOC9450,OVOC_OM3,14784631,14789303,ortholog_one2one,54.6135
WBGene00220985,Bma-prx-10,Bm724,Bm_v4_Chr1_scaffold_001,9310118,9315308,WBGene00006946,prx-10,III,5236410,5240055,ortholog_one2one,21.8705,WBGene00245434,Ovo-prx-10,OVOC_OM3,8344275,8350241,ortholog_one2one,75.6835
WBGene00220990,Bm729,Bm729,Bm_v4_Chr1_scaffold_001,8281888,8290517,WBGene00021444,ttc-7,III,1860429,1877514,ortholog_one2one,39.6141,WBGene00245251,OVOC8442,OVOC_OM3,7266850,7275303,ortholog_one2one,87.9682
WBGene00221002,Bm741,Bm741,Bm_v4_Chr2_contig_001,10816573,10819987,WBGene00011928,cutl-12,II,8630710,8634464,ortholog_one2many,26.0331,WBGene00246500,Ovo-cutl-12,OVOC_OM4,104075,108354,ortholog_one2many,44.8347
WBGene00221010,Bm749,Bm749,Bm_v4_Chr3_scaffold_001,10883396,10887365,WBGene00003815,nars-1,I,7088030,7090062,ortholog_one2many,66.2409,WBGene00243406,OVOC6597,OVOC_OM2,18875592,18879747,ortholog_many2many,87.9562
WBGene00221010,Bm749,Bm749,Bm_v4_Chr3_scaffold_001,10883396,10887365,WBGene00003815,nars-1,I,7088030,7090062,ortholog_one2many,66.2409,WBGene00243408,OVOC6599,OVOC_OM2,18885991,18890144,ortholog_many2many,86.4964
WBGene00221016,Bma-rpom-1,Bm755,Bm_v4_Chr1_scaffold_001,437609,444782,WBGene00013680,rpom-1,I,14552030,14565853,ortholog_one2one,35.6392,WBGene00246466,Ovo-rpom-1,OVOC_OM3,16561359,16569715,ortholog_one2one,86.1646
WBGene00221078,Bm817,Bm817,Bm_v4_Chr2_contig_001,733048,745925,WBGene00022087,Y69A2AR.16,IV,2497801,2530296,ortholog_one2many,21.1806,WBGene00248098,OVOC11289,OVOC_OM4,13405183,13419071,ortholog_one2one,40.0174
WBGene00221117,Bma-aqp-3,Bm856,Bm_v4_ChrX_scaffold_001,13634636,13639457,WBGene00000171,aqp-3,IV,10961355,10966459,ortholog_one2one,38.3051,WBGene00240448,Ovo-aqp-3,OVOC_OM1b,27138144,27142337,ortholog_one2one,64.4068
WBGene00221120,Bm859,Bm859a,Bm_v4_Chr1_scaffold_001,9284901,9288539,WBGene00008910,F17C8.3,III,4731938,4734034,ortholog_one2one,22.6586,WBGene00245430,OVOC8621,OVOC_OM3,8316848,8322096,ortholog_one2one,73.716
WBGene00221120,Bm859,Bm859b,Bm_v4_Chr1_scaffold_001,9284901,9288539,WBGene00008910,F17C8.3,III,4731938,4734034,ortholog_one2one,22.6586,WBGene00245430,OVOC8621,OVOC_OM3,8316848,8322096,ortholog_one2one,73.716
WBGene00221135,Bm874,Bm874,Bm_v4_Chr2_contig_001,10089050,10091494,WBGene00016966,aipr-1,II,6592440,6594251,ortholog_one2one,48.4241,WBGene00246662,OVOC9853,OVOC_OM4,1360250,1365555,ortholog_one2one,84.8138
WBGene00221138,Bm877,Bm877,Bm_v4_Chr4_scaffold_001,8628949,8632638,WBGene00012144,T28H10.3,V,12512986,12514941,ortholog_one2one,42.7273,WBGene00243848,OVOC7039,OVOC_OM2,21788688,21793483,ortholog_one2one,73.6364
WBGene00221140,Bma-rsu-1,Bm879,Bm_v4_Chr1_scaffold_001,10354070,10357143,WBGene00007924,rsu-1,III,3472003,3473718,ortholog_one2one,64.8352,WBGene00244766,Ovo-rsu-1,OVOC_OM3,3684274,3693165,ortholog_one2one,96.337
WBGene00221144,Bm883,Bm883,Bm_v4_Chr1_scaffold_001,3821331,3823717,WBGene00017919,F29B9.1,IV,4665251,4667293,ortholog_one2one,42.2907,WBGene00246110,OVOC9301,OVOC_OM3,13596349,13597967,ortholog_one2one,71.3656
WBGene00221146,Bm885,Bm885,Bm_v4_Chr1_scaffold_001,11617783,11620986,WBGene00014181,ZK1010.8,III,12995738,13000670,ortholog_one2one,35.7664,WBGene00244634,OVOC7825,OVOC_OM3,2668976,2673069,ortholog_one2one,69.3431
WBGene00221169,Bma-vps-51,Bm908a,Bm_v4_Chr3_scaffold_001,12286671,12292988,WBGene00015176,vps-51,I,5803959,5807291,ortholog_one2one,30.9192,WBGene00238472,Ovo-vps-51,OVOC_OM1b,11867943,11875135,ortholog_one2one,78.8301
WBGene00221169,Bma-vps-51,Bm908b,Bm_v4_Chr3_scaffold_001,12286671,12292988,WBGene00015176,vps-51,I,5803959,5807291,ortholog_one2one,30.9192,WBGene00238472,Ovo-vps-51,OVOC_OM1b,11867943,11875135,ortholog_one2one,78.8301
WBGene00221205,Bm944,Bm944,Bm_v4_ChrX_scaffold_001,23628992,23630782,WBGene00002016,hsp-16.2,V,1804334,1804971,ortholog_many2many,20.8122,WBGene00239199,OVOC2390,OVOC_OM1b,18037796,18039524,ortholog_one2many,67.0051
WBGene00221205,Bm944,Bm944,Bm_v4_ChrX_scaffold_001,23628992,23630782,WBGene00002015,hsp-16.1,V,9087293,9087782,ortholog_many2many,20.8122,WBGene00239199,OVOC2390,OVOC_OM1b,18037796,18039524,ortholog_one2many,67.0051
WBGene00221205,Bm944,Bm944,Bm_v4_ChrX_scaffold_001,23628992,23630782,WBGene00002018,hsp-16.41,V,1805178,1805875,ortholog_many2many,20.8122,WBGene00239199,OVOC2390,OVOC_OM1b,18037796,18039524,ortholog_one2many,67.0051
WBGene00221205,Bm944,Bm944,Bm_v4_ChrX_scaffold_001,23628992,23630782,WBGene00002020,hsp-16.49,V,9089280,9089766,ortholog_many2many,20.8122,WBGene00239199,OVOC2390,OVOC_OM1b,18037796,18039524,ortholog_one2many,67.0051
WBGene00221205,Bm944,Bm944,Bm_v4_ChrX_scaffold_001,23628992,23630782,WBGene00004798,sip-1,III,10506106,10506801,ortholog_many2many,21.3198,WBGene00239199,OVOC2390,OVOC_OM1b,18037796,18039524,ortholog_one2many,67.0051
WBGene00221205,Bm944,Bm944,Bm_v4_ChrX_scaffold_001,23628992,23630782,WBGene00008592,F08H9.4,V,14463588,14464428,ortholog_many2many,16.7513,WBGene00239199,OVOC2390,OVOC_OM1b,18037796,18039524,ortholog_one2many,67.0051
WBGene00221205,Bm944,Bm944,Bm_v4_ChrX_scaffold_001,23628992,23630782,WBGene00008591,F08H9.3,V,14461943,14462809,ortholog_many2many,17.7665,WBGene00239199,OVOC2390,OVOC_OM1b,18037796,18039524,ortholog_one2many,67.0051
WBGene00221205,Bm944,Bm944,Bm_v4_ChrX_scaffold_001,23628992,23630782,WBGene00002017,hsp-16.11,V,9090077,9090604,ortholog_many2many,20.8122,WBGene00239199,OVOC2390,OVOC_OM1b,18037796,18039524,ortholog_one2many,67.0051
WBGene00221205,Bm944,Bm944,Bm_v4_ChrX_scaffold_001,23628992,23630782,WBGene00002019,hsp-16.48,V,9088131,9088617,ortholog_many2many,20.8122,WBGene00239199,OVOC2390,OVOC_OM1b,18037796,18039524,ortholog_one2many,67.0051
WBGene00221217,Bm956,Bm956,Bm_v4_ChrX_scaffold_001,9534005,9537633,WBGene00020462,T12E12.1,IV,5551134,5558820,ortholog_one2one,54.9266,WBGene00240954,OVOC4145,OVOC_OM2,2586849,2590483,ortholog_one2one,93.501
WBGene00221226,Bm965,Bm965,Bm_v4_Chr1_scaffold_001,7176133,7179374,WBGene00021252,cht-4,III,1653731,1657480,ortholog_one2one,31.0345,WBGene00246212,Ovo-cht-4,OVOC_OM3,14244546,14252376,ortholog_one2one,74.8011
WBGene00221236,Bm975,Bm975a,Bm_v4_ChrX_scaffold_001,16204087,16211392,WBGene00009284,F31C3.2,I,15036373,15040487,ortholog_one2one,20.5306,WBGene00240483,OVOC3674,OVOC_OM1b,27418145,27427865,ortholog_one2one,74.7405
WBGene00221236,Bm975,Bm975b,Bm_v4_ChrX_scaffold_001,16204087,16211392,WBGene00009284,F31C3.2,I,15036373,15040487,ortholog_one2one,20.5306,WBGene00240483,OVOC3674,OVOC_OM1b,27418145,27427865,ortholog_one2one,74.7405
WBGene00221241,Bm980,Bm980,Bm_v4_ChrX_scaffold_001,154098,158613,WBGene00000148,aph-2,I,10340997,10345648,ortholog_one2many,24.3553,WBGene00242612,Ovo-aph-2,OVOC_OM2,13404065,13412232,ortholog_one2many,75.6447
WBGene00221274,Bm1013,Bm1013,Bm_v4_Chr3_scaffold_001,6384770,6385768,WBGene00022835,ZK973.9,I,4370419,4372138,ortholog_one2one,28,WBGene00238191,OVOC1382,OVOC_OM1b,9564350,9565336,ortholog_one2one,85
WBGene00221284,Bm1023,Bm1023,Bm_v4_Chr3_scaffold_001,7260637,7262191,WBGene00018765,mpc-2,I,3827219,3828143,ortholog_one2many,50.3817,WBGene00237915,OVOC1106,OVOC_OM1b,7365419,7366479,ortholog_one2one,72.5191
WBGene00221286,Bm1025,Bm1025,Bm_v4_Chr3_scaffold_001,7399514,7403001,WBGene00002136,inx-14,I,7350312,7352235,ortholog_one2many,22.0056,WBGene00237937,OVOC1128,OVOC_OM1b,7519273,7522303,ortholog_one2one,71.0306
WBGene00221335,Bm1074,Bm1074,Bm_v4_Chr3_scaffold_001,10537556,10546864,WBGene00003736,nhx-9,IV,11930872,11935718,ortholog_one2many,52.3392,WBGene00238568,OVOC1759,OVOC_OM1b,12657370,12667024,ortholog_one2one,77.4854
WBGene00221335,Bm1074,Bm1074,Bm_v4_Chr3_scaffold_001,10537556,10546864,WBGene00003731,nhx-3,V,7540890,7544838,ortholog_one2many,51.6082,WBGene00238568,OVOC1759,OVOC_OM1b,12657370,12667024,ortholog_one2one,77.4854
WBGene00221338,Bma-acc-3,Bm1077,Bm_007,456316,465014,WBGene00018880,acc-3,X,4722877,4727481,ortholog_one2one,55.7875,WBGene00238864,Ovo-acc-3,OVOC_OM1b,15496160,15509082,ortholog_one2one,69.4497
WBGene00221350,Bm1089,Bm1089,Bm_v4_Chr3_scaffold_001,11957740,11963531,WBGene00018895,F55F8.7,I,5659450,5661272,ortholog_one2many,19.3258,WBGene00238239,OVOC1430,OVOC_OM1b,9928977,9934782,ortholog_one2one,69.8876
WBGene00221350,Bm1089,Bm1089,Bm_v4_Chr3_scaffold_001,11957740,11963531,WBGene00009129,F25H5.7,I,9155513,9157411,ortholog_one2many,19.1011,WBGene00238239,OVOC1430,OVOC_OM1b,9928977,9934782,ortholog_one2one,69.8876
WBGene00221354,Bm1093,Bm1093,Bm_v4_ChrX_scaffold_001,15794518,15805620,WBGene00006670,twk-16,X,3081125,3085336,ortholog_one2one,35.2031,WBGene00240257,Ovo-twk-16,OVOC_OM1b,25783970,25791384,ortholog_one2many,27.0793
WBGene00221354,Bm1093,Bm1093,Bm_v4_ChrX_scaffold_001,15794518,15805620,WBGene00006670,twk-16,X,3081125,3085336,ortholog_one2one,35.2031,WBGene00240258,OVOC3449,OVOC_OM1b,25791754,25793103,ortholog_one2many,13.9265
WBGene00221359,Bma-nhr-120,Bm1098,Bm_v4_ChrX_scaffold_001,14163610,14169380,WBGene00011100,nhr-209,V,12098149,12100111,ortholog_one2many,16.6667,WBGene00240403,OVOC3594,OVOC_OM1b,26886046,26890207,ortholog_one2one,72.7848
WBGene00221359,Bma-nhr-120,Bm1098,Bm_v4_ChrX_scaffold_001,14163610,14169380,WBGene00016975,nhr-173,X,6655547,6659966,ortholog_one2many,20.8861,WBGene00240403,OVOC3594,OVOC_OM1b,26886046,26890207,ortholog_one2one,72.7848
WBGene00221359,Bma-nhr-120,Bm1098,Bm_v4_ChrX_scaffold_001,14163610,14169380,WBGene00007546,nhr-153,V,12104273,12106507,ortholog_one2many,18.7764,WBGene00240403,OVOC3594,OVOC_OM1b,26886046,26890207,ortholog_one2one,72.7848
WBGene00221359,Bma-nhr-120,Bm1098,Bm_v4_ChrX_scaffold_001,14163610,14169380,WBGene00008221,nhr-168,V,13331117,13333871,ortholog_one2many,18.5654,WBGene00240403,OVOC3594,OVOC_OM1b,26886046,26890207,ortholog_one2one,72.7848
WBGene00221359,Bma-nhr-120,Bm1098,Bm_v4_ChrX_scaffold_001,14163610,14169380,WBGene00011097,nhr-206,V,12092006,12093862,ortholog_one2many,17.7215,WBGene00240403,OVOC3594,OVOC_OM1b,26886046,26890207,ortholog_one2one,72.7848
WBGene00221359,Bma-nhr-120,Bm1098,Bm_v4_ChrX_scaffold_001,14163610,14169380,WBGene00003683,nhr-93,V,3536196,3538407,ortholog_one2many,14.346,WBGene00240403,OVOC3594,OVOC_OM1b,26886046,26890207,ortholog_one2one,72.7848
WBGene00221359,Bma-nhr-120,Bm1098,Bm_v4_ChrX_scaffold_001,14163610,14169380,WBGene00020748,nhr-221,V,3533003,3535235,ortholog_one2many,17.5105,WBGene00240403,OVOC3594,OVOC_OM1b,26886046,26890207,ortholog_one2one,72.7848
WBGene00221359,Bma-nhr-120,Bm1098,Bm_v4_ChrX_scaffold_001,14163610,14169380,WBGene00015397,nhr-149,V,7348211,7349664,ortholog_one2many,18.5654,WBGene00240403,OVOC3594,OVOC_OM1b,26886046,26890207,ortholog_one2one,72.7848
WBGene00221359,Bma-nhr-120,Bm1098,Bm_v4_ChrX_scaffold_001,14163610,14169380,WBGene00011098,nhr-207,V,12096234,12097845,ortholog_one2many,16.0338,WBGene00240403,OVOC3594,OVOC_OM1b,26886046,26890207,ortholog_one2one,72.7848
WBGene00221359,Bma-nhr-120,Bm1098,Bm_v4_ChrX_scaffold_001,14163610,14169380,WBGene00003650,nhr-60,V,15770302,15773239,ortholog_one2many,19.8312,WBGene00240403,OVOC3594,OVOC_OM1b,26886046,26890207,ortholog_one2one,72.7848
